thread_url,userid,timestamp,post_text
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/lian-li-pc-011-dynamic-5812522.html,250963,2018-04-16T23:35,"Hi, Will Corbel bring in this case? seems pretty good https://youtu.be/OH0fyooKmns"
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/lian-li-pc-011-dynamic-5812522.html,696253,2018-04-17T12:52,"souler87 wrote: Hi, Will Corbel bring in this case? seems pretty good https://youtu.be/OH0fyooKmns SECOND IT! prease bring it in at a affordable price"
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/lian-li-pc-011-dynamic-5812522.html,462877,2018-04-17T11:23,just fyi
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/galax-gpu-fans-rattling-5813126.html,296133,2018-04-18T01:26,I am having the issues of my Galax GTX 1070 GPU fans rattling every time they spin up. I checked to see if anything was obstructing the fan blades and found nothing. I suspect it is ball-bearing issues? I have verified that this GPU has the Corbell warranty sticker on the back of the GPU so can someone from Corbell verify if I can bring my GPU in to be fixed? Got this via Lazada in Oct 2017.
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/galax-gpu-fans-rattling-5813126.html,510165,2018-04-19T10:15,"zyblack wrote: I am having the issues of my Galax GTX 1070 GPU fans rattling every time they spin up. I checked to see if anything was obstructing the fan blades and found nothing. I suspect it is ball-bearing issues? I have verified that this GPU has the Corbell warranty sticker on the back of the GPU so can someone from Corbell verify if I can bring my GPU in to be fixed? Got this via Lazada in Oct 2017. Hi zyblack, No worries. Please pm me your name and hp number and our technician will contact you."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/corbell-gpu-5801024.html,714493,2018-03-29T20:19,"Hi, can i check with you whether all gpu product have warranty sticker on the gpu ? Is both of the seal resealed ?"
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/corbell-gpu-5801024.html,154272,2018-04-04T12:23,"Tanyyrr wrote: Hi, can i check with you whether all gpu product have warranty sticker on the gpu ? Is both of the seal resealed ? Look out for our Corbell warranty sticker on the card itself. It's always at the back of the card. If it's not there, high chance it's PI or overseas purchased. We will not cover stocks that are not under us. There's no seal in particular. If there is a unique seal, again, it's likely not our stock and we will not cover."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/corbell-gpu-5801024.html,296133,2018-04-15T19:21,"clon22 wrote: Look out for our Corbell warranty sticker on the card itself. It's always at the back of the card. If it's not there, high chance it's PI or overseas purchased. We will not cover stocks that are not under us. There's no seal in particular. If there is a unique seal, again, it's likely not our stock and we will not cover. Hi, I have purchased a Galax GTX 1070 EXOC SNIPER White via Lazada in Oct last year and on the box it has a large green 3 year warranty sticker by Corbell. I noticed 2 ""warranty void if removed"" sticker on the back of the card itself, 1 white and 1 blue but no clear Corbell logo. How should Corbell warranty sticker look like on the GPU?"
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/corbell-gpu-5801024.html,154272,2018-04-16T10:44,"Hi there, Check the back of the card if you see a sticker like this: This is how our warranty sticker looks like on VGAs/mobos."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,311202,2018-04-09T12:02,"Hi Corbell, I just got the MSI GTX 1070 Ti Gaming card and I'm trying to control the RGB LED on the card. Only seems to respond to the Mystic Light app and not the Gaming app. Also, the functions are extremely limited - there is no rainbow / color cycle so basically the RGB light will only be stuck in one color. Is there a way to get the RGB to color cycle? My whole rig is RGB and the gfx seems to be the only implementation with no rainbow effect."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,154272,2018-04-09T11:32,"All RGB controls have been ported to Mystic light sync s/w now. You have to use the Mystic Light Sync to control MSI mobo/vga RGB settings. I did a short clip on an msi board when testing for someone: You can use it as reference. The VGA controlling is the same. (Just click on the VGA icon at the top when selecting the component/peripheral) Use ""rainbow"" to cycle RGB. *Note, if your rams are RGB too, use the memory's own RGB control s/w. Use Mystic light sync only for MSI m/b & vga."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,311202,2018-04-09T23:45,"After playing with the software I managed to get some kind of rainbow function in the RGB. There isn't a ""rainbow"" option available, unlike what is shown in the video, but I have to use ""breathing"". But it doesn't transition smoothly like the normal RGB rainbow - the light goes off before switching to a different colour. I suppose this is the expected behaviour? There isn't a way to get the graphics card to have the ""rainbow"" feature?"
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,154272,2018-04-12T10:57,"Apologies, office shorted handed past 2 days. Will test it again for you afterwards."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,311202,2018-04-12T11:49,Thank you for the help!
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,154272,2018-04-12T17:40,"Hi, Tried it too. Pretty sure it's a s/w version bug. When on ""no animation"" + RGB, it's supposed to give the rainbow effect but the lights turn off instead. Will check with MSI to see if they have any newer/beta versions. In the meantime, breathing + rgb is the closest. Will update again once I get a reply from them."
https://forums.hardwarezone.com.sg/corbell-ecustomer-service-center-166/msi-gtx-1070-ti-gaming-rgb-controls-5807475.html,311202,2018-04-13T22:42,"clon22 wrote: Hi, Tried it too. Pretty sure it's a s/w version bug. When on ""no animation"" + RGB, it's supposed to give the rainbow effect but the lights turn off instead. Will check with MSI to see if they have any newer/beta versions. In the meantime, breathing + rgb is the closest. Will update again once I get a reply from them. Thank you very much clon22! Great service from Corbell!"
